DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons,Year,Month,CargoTons_K
2014-05-01T00:00:00.000,2006-08-01,Arrival,International,Mail,552,2006,8,0.552
2014-05-01T00:00:00.000,2006-08-01,Departure,Domestic,Freight,40147,2006,8,40.147
2014-05-01T00:00:00.000,2006-08-01,Departure,Domestic,Mail,2517,2006,8,2.517
2014-05-01T00:00:00.000,2006-08-01,Departure,International,Freight,38239,2006,8,38.239
2014-05-01T00:00:00.000,2006-08-01,Departure,International,Mail,1027,2006,8,1.027
2014-05-01T00:00:00.000,2006-09-01,Arrival,Domestic,Freight,38323,2006,9,38.323
2014-05-01T00:00:00.000,2006-09-01,Arrival,Domestic,Mail,1850,2006,9,1.85
2014-05-01T00:00:00.000,2006-09-01,Arrival,International,Freight,65728,2006,9,65.728
2014-05-01T00:00:00.000,2006-09-01,Arrival,International,Mail,557,2006,9,0.557
2014-05-01T00:00:00.000,2006-09-01,Departure,Domestic,Freight,38434,2006,9,38.434
2014-05-01T00:00:00.000,2006-09-01,Departure,Domestic,Mail,1870,2006,9,1.87
2014-05-01T00:00:00.000,2006-09-01,Departure,International,Freight,37856,2006,9,37.856
2014-05-01T00:00:00.000,2006-09-01,Departure,International,Mail,2559,2006,9,2.559
2014-05-01T00:00:00.000,2006-10-01,Arrival,Domestic,Freight,40772,2006,10,40.772
2014-05-01T00:00:00.000,2006-10-01,Arrival,Domestic,Mail,1981,2006,10,1.981
2014-05-01T00:00:00.000,2006-10-01,Arrival,International,Freight,61191,2006,10,61.191
2014-05-01T00:00:00.000,2006-10-01,Arrival,International,Mail,618,2006,10,0.618
2014-05-01T00:00:00.000,2006-10-01,Departure,Domestic,Freight,41338,2006,10,41.338
2014-05-01T00:00:00.000,2006-10-01,Departure,Domestic,Mail,2016,2006,10,2.016
2014-05-01T00:00:00.000,2006-10-01,Departure,International,Freight,37607,2006,10,37.607
2014-05-01T00:00:00.000,2006-10-01,Departure,International,Mail,1202,2006,10,1.202
2014-05-01T00:00:00.000,2006-11-01,Arrival,Domestic,Freight,36344,2006,11,36.344
2014-05-01T00:00:00.000,2006-11-01,Arrival,Domestic,Mail,2158,2006,11,2.158
2014-05-01T00:00:00.000,2006-11-01,Arrival,International,Freight,56786,2006,11,56.786
2014-05-01T00:00:00.000,2006-11-01,Arrival,International,Mail,769,2006,11,0.769
2014-05-01T00:00:00.000,2006-11-01,Departure,Domestic,Freight,40773,2006,11,40.773
2014-05-01T00:00:00.000,2006-11-01,Departure,Domestic,Mail,2001,2006,11,2.001
2014-05-01T00:00:00.000,2006-11-01,Departure,International,Freight,33557,2006,11,33.557
2014-05-01T00:00:00.000,2006-11-01,Departure,International,Mail,2810,2006,11,2.81
2014-05-01T00:00:00.000,2006-12-01,Arrival,Domestic,Freight,37530,2006,12,37.53
2014-05-01T00:00:00.000,2006-12-01,Arrival,Domestic,Mail,2042,2006,12,2.042
2014-05-01T00:00:00.000,2006-12-01,Arrival,International,Freight,56553,2006,12,56.553
2014-05-01T00:00:00.000,2006-12-01,Arrival,International,Mail,1309,2006,12,1.309
2014-05-01T00:00:00.000,2006-12-01,Departure,Domestic,Freight,42958,2006,12,42.958
2014-05-01T00:00:00.000,2006-12-01,Departure,Domestic,Mail,2066,2006,12,2.066
2014-05-01T00:00:00.000,2006-12-01,Departure,International,Freight,34810,2006,12,34.81
2014-05-01T00:00:00.000,2006-12-01,Departure,International,Mail,1565,2006,12,1.565
2014-05-01T00:00:00.000,2007-01-01,Arrival,Domestic,Freight,36417,2007,1,36.417
2014-05-01T00:00:00.000,2007-01-01,Arrival,Domestic,Mail,1906,2007,1,1.906
2014-05-01T00:00:00.000,2007-01-01,Arrival,International,Freight,48033,2007,1,48.033
2014-05-01T00:00:00.000,2007-01-01,Arrival,International,Mail,962,2007,1,0.962
2014-05-01T00:00:00.000,2007-01-01,Departure,Domestic,Freight,38566,2007,1,38.566
2014-05-01T00:00:00.000,2007-01-01,Departure,Domestic,Mail,1970,2007,1,1.97
2014-05-01T00:00:00.000,2007-01-01,Departure,International,Freight,31805,2007,1,31.805
2014-05-01T00:00:00.000,2007-01-01,Departure,International,Mail,1816,2007,1,1.816
2014-05-01T00:00:00.000,2007-02-01,Arrival,Domestic,Freight,34246,2007,2,34.246
2014-05-01T00:00:00.000,2007-02-01,Arrival,Domestic,Mail,1708,2007,2,1.708
2014-05-01T00:00:00.000,2007-02-01,Arrival,International,Freight,48596,2007,2,48.596
2014-05-01T00:00:00.000,2007-02-01,Arrival,International,Mail,795,2007,2,0.795
2014-05-01T00:00:00.000,2007-02-01,Departure,Domestic,Freight,37997,2007,2,37.997
2014-05-01T00:00:00.000,2007-02-01,Departure,Domestic,Mail,1739,2007,2,1.739
2014-05-01T00:00:00.000,2007-02-01,Departure,International,Freight,29604,2007,2,29.604
2014-05-01T00:00:00.000,2007-02-01,Departure,International,Mail,1206,2007,2,1.206
2014-05-01T00:00:00.000,2007-03-01,Arrival,Domestic,Freight,42067,2007,3,42.067
2014-05-01T00:00:00.000,2007-03-01,Arrival,Domestic,Mail,1870,2007,3,1.87
2014-05-01T00:00:00.000,2007-03-01,Arrival,International,Freight,55684,2007,3,55.684
2014-05-01T00:00:00.000,2007-03-01,Arrival,International,Mail,860,2007,3,0.86
2014-05-01T00:00:00.000,2007-03-01,Departure,Domestic,Freight,42456,2007,3,42.456
2014-05-01T00:00:00.000,2007-03-01,Departure,Domestic,Mail,2279,2007,3,2.279
2014-05-01T00:00:00.000,2007-03-01,Departure,International,Freight,36683,2007,3,36.683
2014-05-01T00:00:00.000,2007-03-01,Departure,International,Mail,1241,2007,3,1.241
2014-05-01T00:00:00.000,2007-04-01,Arrival,Domestic,Freight,34697,2007,4,34.697
2014-05-01T00:00:00.000,2007-04-01,Arrival,Domestic,Mail,1889,2007,4,1.889
2014-05-01T00:00:00.000,2007-04-01,Arrival,International,Freight,51087,2007,4,51.087
2014-05-01T00:00:00.000,2007-04-01,Arrival,International,Mail,722,2007,4,0.722
2014-05-01T00:00:00.000,2007-04-01,Departure,Domestic,Freight,38586,2007,4,38.586
2014-05-01T00:00:00.000,2007-04-01,Departure,Domestic,Mail,2111,2007,4,2.111
2014-05-01T00:00:00.000,2007-04-01,Departure,International,Freight,33383,2007,4,33.383
